rcid,session,date,unres,me,nu,di,hr,co,ec
46,2,1947-09-04T00:00:00Z,R/2/299,0,0,0,0,0,0
47,2,1947-10-05T00:00:00Z,R/2/355,0,0,0,1,0,0
48,2,1947-10-06T00:00:00Z,R/2/461,0,0,0,0,0,0
49,2,1947-10-06T00:00:00Z,R/2/463,0,0,0,0,0,0
50,2,1947-10-06T00:00:00Z,R/2/465,0,0,0,0,0,0
51,2,1947-10-02T00:00:00Z,R/2/561,0,0,0,0,1,0
52,2,1947-11-06T00:00:00Z,R/2/650,0,0,0,0,1,0
53,2,1947-11-06T00:00:00Z,R/2/651,0,0,0,0,1,0
54,2,1947-11-06T00:00:00Z,R/2/651,0,0,0,0,1,0
55,2,1947-11-06T00:00:00Z,R/2/667,0,0,0,0,1,0
56,2,1947-11-01T00:00:00Z,R/2/719,0,0,0,0,1,0
57,2,1947-11-01T00:00:00Z,R/2/743,0,0,0,0,1,0
58,2,1947-11-01T00:00:00Z,R/2/744,0,0,0,0,1,0
59,2,1947-11-05T00:00:00Z,R/2/858,0,0,0,0,1,0
60,2,1947-11-06T00:00:00Z,R/2/940A,0,0,0,0,0,0
61,2,1947-11-06T00:00:00Z,R/2/940B,0,0,0,0,0,0
62,2,1947-11-01T00:00:00Z,R/2/1078A,0,0,0,0,0,0
63,2,1947-11-01T00:00:00Z,R/2/1078B,0,0,0,0,0,0
64,2,1947-11-01T00:00:00Z,R/2/1079A,0,0,0,0,0,0
65,2,1947-11-01T00:00:00Z,R/2/1079B,0,0,0,0,0,0
66,2,1947-11-01T00:00:00Z,R/2/1079C,0,0,0,0,0,0
67,2,1947-11-01T00:00:00Z,R/2/1080,0,0,0,0,0,0
68,2,1947-11-01T00:00:00Z,R/2/1095A,0,0,0,0,0,0
69,2,1947-11-01T00:00:00Z,R/2/1095B,0,0,0,0,0,0
70,2,1947-11-01T00:00:00Z,R/2/1096,0,0,0,0,0,0
71,2,1947-11-04T00:00:00Z,R/2/1169,0,0,0,0,0,0
72,2,1947-11-04T00:00:00Z,R/2/1170,0,0,0,0,0,0
73,2,1947-11-04T00:00:00Z,R/2/1214,0,0,0,0,0,0
74,2,1947-11-05T00:00:00Z,R/2/1305,0,0,0,1,0,0
75,2,1947-11-05T00:00:00Z,R/2/1306A,0,0,0,1,0,0
76,2,1947-11-05T00:00:00Z,R/2/1306B,0,0,0,1,0,0
77,2,1947-11-06T00:00:00Z,R/2/1424,1,0,0,0,0,1
175,4,1949-10-04T00:00:00Z,R/4/117,0,0,0,0,0,0
176,4,1949-10-06T00:00:00Z,R/4/150,0,0,0,1,0,0
177,4,1949-10-06T00:00:00Z,R/4/165,0,0,0,0,0,0
178,4,1949-11-05T00:00:00Z,R/4/188A,0,0,0,0,1,0
179,4,1949-11-05T00:00:00Z,R/4/188B,0,0,0,0,1,0
180,4,1949-11-05T00:00:00Z,R/4/189A,0,0,0,0,1,0
181,4,1949-11-05T00:00:00Z,R/4/189B,0,0,0,0,1,0
182,4,1949-11-06T00:00:00Z,R/4/211,0,0,0,0,0,1
183,4,1949-11-06T00:00:00Z,R/4/212,0,0,0,0,0,0
184,4,1949-11-01T00:00:00Z,R/4/264A,0,0,0,0,0,0
185,4,1949-11-01T00:00:00Z,R/4/264B,0,0,0,0,0,0
186,4,1949-11-01T00:00:00Z,R/4/264C,0,0,0,0,0,0
187,4,1949-11-01T00:00:00Z,R/4/264D,0,0,0,0,0,0
188,4,1949-11-01T00:00:00Z,R/4/264E,0,0,0,0,0,0
189,4,1949-11-01T00:00:00Z,R/4/264F,0,0,0,0,0,0
190,4,1949-11-01T00:00:00Z,R/4/265,0,0,0,0,0,0
191,4,1949-11-04T00:00:00Z,R/4/301A,0,0,0,0,1,0
192,4,1949-11-04T00:00:00Z,R/4/301B,0,0,0,0,1,0
193,4,1949-11-04T00:00:00Z,R/4/302A,0,0,0,0,1,0
194,4,1949-11-04T00:00:00Z,R/4/302B,0,0,0,0,1,0
195,4,1949-11-04T00:00:00Z,R/4/302C,0,0,0,0,1,0
196,4,1949-11-04T00:00:00Z,R/4/302D,0,0,0,0,1,0
197,4,1949-11-04T00:00:00Z,R/4/302,0,0,0,0,1,0
198,4,1949-11-06T00:00:00Z,R/4/358A,0,1,1,0,0,0
199,4,1949-11-06T00:00:00Z,R/4/358B,0,1,1,0,0,0
200,4,1949-11-06T00:00:00Z,R/4/358C,0,1,1,0,0,0
201,4,1949-11-01T00:00:00Z,R/4/383A,0,0,0,0,0,1
202,4,1949-11-01T00:00:00Z,R/4/383B,0,0,0,0,0,1
203,4,1949-11-01T00:00:00Z,R/4/383C,0,0,0,0,0,1
204,4,1949-11-01T00:00:00Z,R/4/383D,0,0,0,0,0,1
